player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Calais Campbell,4364,DI,MIA,11,6,5,,0,1,17,0,0,61.9,79.7,87.5,69.0,78.2,37.5,3,17,0,0,,16.2,6,0,0,0.0,0,4,0,2,0,10,392,390,11,180,124,75,0,2,253,129,0,22,25,5,0,24,0,0,0,
Brandon Graham,5538,ED,PHI,11,4,0,100.0,0,1,24,0,0,50.9,78.6,63.9,71.8,80.1,34.0,3,13,0,0,5,23.8,5,0,1,87.5,1,4,0,1,0,15,311,309,0,6,269,34,0,2,169,127,1,12,12,3,1,20,0,5,8,5.0
Jerry Hughes,5556,ED,HST,6,2,0,,0,0,13,0,0,60.9,46.8,82.5,45.9,51.9,73.8,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,3,65,64,0,0,62,2,1,1,38,24,0,1,2,0,0,1,0,0,0,
Linval Joseph,5571,DI,DAL,11,4,0,,0,1,9,0,0,79.3,49.3,54.0,82.1,33.1,54.0,0,2,0,0,,9.1,1,0,1,0.0,0,1,0,0,0,0,186,186,125,61,0,0,0,0,77,109,0,3,6,0,0,3,0,0,0,
Von Miller,6154,ED,BUF,7,2,0,,0,0,4,0,0,65.2,76.3,47.0,76.0,61.6,77.2,2,11,0,0,,0.0,0,0,1,0.0,0,4,0,0,0,4,158,158,0,0,158,0,0,0,122,32,0,6,3,0,0,17,0,0,0,
Cameron Jordan,6176,ED,NO,11,6,2,,0,0,20,0,0,67.8,50.5,87.6,54.1,43.4,32.1,1,13,0,1,,23.8,5,0,0,0.0,0,1,0,1,0,6,339,338,3,15,225,95,0,1,209,124,0,7,10,0,0,15,0,0,0,
Cameron Heyward,6183,DI,PIT,11,4,6,,0,0,25,0,0,59.1,90.5,85.1,90.0,78.9,68.1,8,23,0,0,,5.1,2,0,0,0.0,0,7,0,1,0,0,487,486,10,275,19,182,0,1,296,191,0,29,33,2,0,38,0,0,0,
Lawrence Guy Sr.,6385,DI,CIN,4,2,0,,0,0,7,0,0,,51.1,80.2,52.5,52.7,25.2,0,0,0,0,,33.3,1,0,0,0.0,0,0,0,0,0,0,90,90,1,73,3,13,0,0,41,49,0,0,0,0,0,0,0,0,0,
Nick Bellore,6515,LB,WAS,3,0,0,100.0,0,0,32,0,0,79.4,87.9,68.9,60.0,63.2,73.2,0,0,0,0,2,0.0,0,0,0,79.2,2,0,0,6,0,3,7,0,0,0,0,0,0,7,1,3,0,1,1,1,2,0,0,-4,3,-2.0
Stephon Gilmore,7016,CB,MIN,11,9,0,67.7,0,1,18,0,0,60.2,64.3,86.5,,82.0,68.6,0,0,0,1,27,11.3,6,5,3,94.5,44,0,0,80,522,445,641,6,0,0,6,0,5,635,0,196,28,17,38,1,65,0,3,422,173,9.6
Bobby Wagner,7050,LB,WAS,12,26,0,73.1,0,1,32,2,0,63.7,83.7,58.5,86.4,89.8,78.8,3,10,0,0,32,6.9,7,1,1,111.1,19,3,0,692,2,353,745,11,0,0,11,0,1,734,61,331,39,35,69,6,26,16,1,220,141,11.6
Lavonte David,7060,LB,TB,11,17,1,84.5,0,3,30,0,0,59.7,69.7,83.9,67.0,77.4,39.6,1,14,0,1,49,17.9,15,3,1,106.5,49,3,0,607,5,400,727,55,0,0,55,0,1,672,76,251,59,33,52,2,58,18,2,495,313,10.1
Demario Davis,7079,LB,NO,10,29,0,77.4,0,0,20,0,0,67.7,69.3,56.6,55.4,70.5,61.9,0,3,0,0,23,10.7,9,3,2,99.7,24,1,0,602,0,377,665,35,0,0,35,0,2,630,39,249,26,27,46,1,31,4,0,246,172,10.3
Rodney McLeod,7271,S,CLV,11,5,0,54.2,0,0,8,1,1,42.3,46.9,82.1,53.0,63.3,57.4,0,0,0,0,17,15.2,5,4,0,77.4,13,0,0,139,0,217,383,13,0,0,13,0,148,370,5,161,83,7,23,2,24,0,1,94,75,7.2
Harrison Smith,7641,S,MIN,11,10,2,67.6,0,0,18,1,0,57.1,61.9,88.5,55.4,75.0,68.8,0,5,0,2,42,11.3,7,2,0,100.4,25,1,0,173,4,440,693,94,0,0,94,0,367,599,38,215,55,14,45,1,37,6,3,333,156,13.3
Darius Slay,7817,CB,PHI,10,6,0,59.5,2,1,24,0,0,67.0,65.0,45.5,,56.4,58.8,0,0,0,0,41,12.8,5,7,4,95.3,22,0,0,45,428,305,479,5,0,0,5,0,0,474,0,174,1,10,28,2,37,0,2,228,66,10.4
Robert Woods,7822,WR,HST,1,0,0,,0,0,13,0,0,60.7,70.2,60.0,,,,0,0,0,0,,,0,0,1,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Johnathan Hankins,7830,DI,SEA,11,5,0,,1,0,29,0,0,65.8,33.0,8.3,54.1,35.0,29.0,1,4,0,1,,17.9,5,0,4,0.0,0,0,0,0,0,0,298,298,94,204,0,0,0,0,119,179,0,12,18,3,0,5,0,0,0,
Tyrann Mathieu,7850,S,NO,11,6,0,75.0,0,1,20,1,0,59.2,58.5,86.2,51.2,55.9,37.7,0,3,0,3,50,23.2,13,1,0,77.1,12,0,0,170,0,393,627,15,0,0,15,0,404,612,9,225,38,7,37,1,16,3,0,275,121,22.9
John Jenkins,7863,DI,LV,11,10,1,,0,0,23,0,0,60.0,55.5,86.0,54.5,55.0,54.4,0,3,0,0,,8.8,3,0,0,0.0,0,2,0,0,0,1,404,404,201,200,0,3,0,0,178,225,0,16,21,3,0,5,0,0,0,
William Gholston,7908,DI,TB,11,4,0,,0,0,30,0,0,66.8,66.1,45.8,70.0,55.5,73.8,2,5,0,0,,0.0,0,0,1,0.0,0,1,0,0,0,0,159,159,3,80,29,47,0,0,80,79,0,5,6,0,0,8,0,0,0,
