player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Shaq Mason,9564,G,HST,8,100.0,0,13,66.4,72.0,61.1,4,10,319,100.0,100.0,96.9,3,17,3,548,0,0,0,548,341,341,548,0,207,0
Jon Runyan,36661,G,NYG,8,100.0,1,21,57.7,64.1,51.8,2,14,326,100.0,100.0,97.2,2,17,1,546,0,545,0,546,351,351,0,0,195,1
Jermaine Eluemunor,11914,T,NYG,8,100.0,3,21,62.0,68.7,59.0,6,11,326,100.0,100.0,96.8,8,19,2,546,0,0,0,546,351,351,0,545,195,1
Joel Bitonio,8670,G,CLV,8,100.0,0,8,64.1,61.0,66.1,3,16,352,100.0,100.0,96.7,6,21,2,546,0,519,27,546,378,378,0,0,168,0
John Michael Schmitz Jr.,55238,C,NYG,8,100.0,0,21,58.7,44.7,63.4,4,12,326,100.0,100.0,97.2,1,17,1,546,546,0,0,546,351,351,0,0,195,0
Greg Van Roten,7746,G,NYG,8,100.0,0,21,65.8,58.6,68.9,4,14,326,100.0,100.0,96.6,3,20,2,546,0,0,1,546,351,351,545,0,195,0
Kenyon Green,99052,G,HST,8,100.0,1,13,39.1,44.1,43.5,3,17,312,100.0,100.0,95.5,7,24,4,539,0,539,0,539,334,334,0,0,205,0
Charles Cross,98401,T,SEA,8,100.0,2,29,83.7,79.7,82.8,3,19,342,100.0,100.0,96.5,5,23,1,538,0,0,536,538,379,379,0,2,159,0
Laken Tomlinson,9461,G,SEA,8,100.0,1,29,66.3,62.8,68.4,6,11,342,100.0,100.0,96.9,3,19,2,538,0,538,0,538,379,379,0,0,159,0
Connor Williams,46216,C,SEA,8,100.0,0,29,63.1,62.2,71.3,3,4,342,100.0,100.0,98.4,8,9,2,538,538,0,0,538,379,379,0,0,159,0
Tyler Linderbaum,82291,C,BLT,8,100.0,0,3,80.7,70.5,84.6,2,3,270,100.0,100.0,99.1,4,5,0,538,538,0,0,538,294,294,0,0,244,0
Daniel Faalele,81734,G,BLT,8,100.0,1,3,60.0,66.3,56.1,1,14,270,100.0,100.0,96.9,4,16,1,538,0,0,0,538,294,294,538,0,244,0
Colton McKivitz,29314,T,SF,8,100.0,0,28,72.0,66.5,74.3,6,14,290,100.0,100.0,96.2,4,21,1,536,0,0,0,536,306,306,0,536,230,0
Rasheed Walker,81798,T,GB,8,100.0,1,12,60.7,76.8,45.5,1,15,269,100.0,100.0,96.3,7,18,2,536,0,1,535,536,286,286,0,0,250,0
Ronnie Stanley,10640,T,BLT,8,100.0,1,3,75.1,84.8,68.5,1,13,268,100.0,100.0,97.4,9,14,0,536,0,0,522,536,292,292,0,0,244,13
Elgton Jenkins,46298,G,GB,8,100.0,0,12,61.1,81.7,56.8,1,7,269,100.0,100.0,98.5,5,8,0,536,7,527,0,536,286,286,0,2,250,0
Dominick Puni,163815,G,SF,8,100.0,0,28,76.1,70.0,73.3,0,14,289,100.0,100.0,97.6,1,14,0,535,0,0,0,535,305,305,535,0,230,0
Jake Brendel,11117,C,SF,8,100.0,1,28,65.0,50.7,69.4,2,10,290,100.0,100.0,97.9,5,12,0,535,535,0,0,535,306,306,0,0,229,0
Zach Tom,55443,T,GB,8,100.0,3,12,82.8,81.8,83.0,2,6,269,100.0,100.0,98.1,4,9,1,535,0,1,0,535,286,286,1,533,249,0
Cody Mauch,66637,G,TB,8,100.0,0,30,69.8,73.1,65.2,0,8,326,100.0,100.0,98.2,1,10,2,529,0,0,0,529,344,344,529,0,185,0
Ben Bredeson,27305,G,TB,8,100.0,0,30,58.5,56.4,56.9,1,13,326,100.0,100.0,97.9,1,14,0,529,0,529,0,529,344,344,0,0,185,0
Josh Myers,59992,C,GB,8,100.0,0,12,49.9,71.4,43.9,2,11,265,100.0,100.0,97.5,3,13,0,529,529,0,0,529,282,282,0,0,247,0
Sam Cosmi,60114,G,WAS,8,100.0,1,32,69.2,78.3,65.6,2,9,293,100.0,100.0,97.8,5,12,1,527,0,0,0,527,311,311,527,0,216,0
Tristan Wirfs,64818,T,TB,8,100.0,0,30,82.9,91.1,68.6,0,6,326,100.0,100.0,99.1,4,6,0,526,0,0,526,526,344,344,0,0,182,0
Andrew Wylie,12333,T,WAS,8,99.6,1,32,62.0,65.5,57.7,3,10,291,99.7,99.4,97.8,5,13,0,525,0,0,0,527,308,310,0,516,217,11
Trent Williams,5529,T,SF,8,100.0,1,28,84.4,85.9,79.3,2,9,281,100.0,100.0,97.7,4,12,1,522,0,0,522,522,296,296,0,0,226,0
Dan Moore Jr.,60120,T,PIT,8,100.0,1,25,74.1,72.6,68.5,2,10,255,100.0,100.0,96.9,2,14,2,522,0,0,521,522,277,277,0,0,245,1
Jake Matthews,8641,T,ATL,8,100.0,2,2,71.2,80.5,61.0,3,10,286,100.0,100.0,96.7,5,16,3,519,0,0,519,519,314,314,0,0,205,0
Kolton Miller,47013,T,LV,8,100.0,2,23,73.2,79.4,62.1,3,10,317,100.0,100.0,96.1,3,19,6,516,0,0,515,516,341,341,0,0,175,1
Nick Allegretti,39268,G,WAS,8,100.0,0,32,67.5,75.9,63.4,0,14,289,100.0,100.0,97.2,3,15,1,516,0,516,0,516,307,307,0,0,209,0
Trevor Penning,59963,T,NO,8,100.0,1,20,56.6,53.7,60.7,1,17,294,100.0,100.0,96.3,6,20,2,515,0,0,0,515,313,313,0,514,202,1
Taliese Fuaga,131732,T,NO,8,100.0,0,20,67.3,52.5,80.0,5,15,294,100.0,100.0,94.9,5,25,5,515,0,0,515,515,313,313,0,0,202,0
Quinn Meinerz,112915,G,DEN,8,100.0,1,10,75.5,75.9,70.0,3,2,303,100.0,100.0,98.8,2,6,1,515,0,0,0,515,324,324,514,0,191,0
Laremy Tunsil,10647,T,HST,8,100.0,1,13,72.3,88.0,71.2,1,3,300,100.0,100.0,98.7,13,6,2,515,0,0,515,515,319,319,0,0,196,0
Ben Powers,41482,G,DEN,8,100.0,1,10,69.5,66.2,67.1,1,8,303,100.0,100.0,98.2,3,10,1,513,0,512,0,513,324,324,0,0,189,0
Tyler Biadasz,41178,C,WAS,8,100.0,0,32,68.6,78.5,63.6,0,5,288,100.0,100.0,99.1,1,5,0,513,513,0,0,513,306,306,0,0,207,0
John Simpson,41715,G,NYJ,8,100.0,0,22,75.3,76.8,75.3,4,3,319,100.0,100.0,98.9,3,7,0,509,0,509,0,509,337,337,0,0,172,0
Tyron Smith,6161,T,NYJ,8,100.0,3,22,71.2,68.4,73.0,4,13,319,100.0,100.0,95.8,6,22,5,509,0,0,509,509,337,337,0,0,172,0
Joe Tippmann,101568,C,NYJ,8,100.0,0,22,73.1,65.1,73.7,2,5,319,100.0,100.0,98.3,1,9,2,509,509,0,0,509,337,337,0,0,172,0
Aaron Banks,59983,G,SF,8,100.0,0,28,72.6,62.2,74.0,2,15,279,100.0,100.0,96.6,1,18,1,506,0,506,0,506,293,293,0,0,213,0
Chris Lindstrom,46692,G,ATL,8,100.0,0,2,87.4,56.0,92.0,6,14,278,100.0,100.0,96.0,4,21,1,501,0,0,0,501,306,306,501,0,195,0
Mike Onwenu,27357,T,NE,8,100.0,0,19,67.9,72.8,59.0,5,12,291,100.0,100.0,97.1,1,17,0,501,0,0,0,501,313,313,193,308,188,0
Patrick Mekari,46219,G,BLT,8,100.0,1,3,61.0,71.0,56.5,0,13,245,100.0,100.0,96.9,5,14,1,500,0,330,1,500,267,267,0,169,233,0
Andre James,47058,C,LV,8,100.0,0,23,54.6,66.1,49.2,1,9,304,100.0,100.0,97.7,2,12,2,500,500,0,0,500,325,325,0,0,175,0
Garett Bolles,11775,T,DEN,8,100.0,2,10,78.0,83.2,77.7,1,11,288,100.0,100.0,97.6,9,13,1,494,0,0,491,494,309,309,0,0,185,2
Juice Scruggs,81800,C,HST,7,100.0,0,13,64.6,65.3,65.6,2,6,281,100.0,100.0,97.5,2,11,3,489,489,0,0,489,302,302,0,0,187,0
Matthew Bergeron,99658,G,ATL,8,100.0,0,2,66.4,69.5,64.9,4,10,264,100.0,100.0,97.0,3,15,1,488,0,488,0,488,290,290,0,0,198,0
Bernhard Raimann,77948,T,IND,8,100.0,0,14,81.9,84.3,73.0,1,8,272,100.0,100.0,97.2,1,12,3,488,0,0,488,488,287,287,0,0,201,0
Quenton Nelson,12954,G,IND,8,100.0,0,14,85.1,83.4,87.6,3,5,272,100.0,100.0,98.2,7,9,1,487,0,487,0,487,287,287,0,0,200,0
Braden Smith,46794,T,IND,8,99.8,5,14,68.0,70.9,72.0,0,13,271,99.6,99.7,96.1,6,17,4,487,0,0,0,488,286,287,0,487,201,1
Spencer Brown,42296,T,BUF,8,100.0,3,4,66.0,73.2,70.0,1,9,261,100.0,100.0,97.7,10,11,1,486,0,0,0,486,280,280,0,486,206,0
Tytus Howard,25472,T,HST,7,100.0,0,13,69.3,75.0,59.2,1,14,278,100.0,100.0,96.9,1,16,1,483,0,0,0,483,300,300,0,483,183,0
Liam Eichenberg,41851,G,MIA,7,100.0,0,17,57.9,56.9,63.9,3,5,263,100.0,100.0,97.7,5,10,2,482,0,0,0,482,281,281,481,0,201,0
O'Cyrus Torrence,102821,G,BUF,8,100.0,0,4,54.7,65.8,52.5,2,16,260,100.0,100.0,96.5,3,18,0,482,0,0,0,482,279,279,482,0,203,0
Austin Jackson,60816,T,MIA,7,100.0,2,17,60.3,60.3,63.7,3,9,263,100.0,100.0,97.0,5,14,2,481,0,0,0,481,281,281,0,480,200,0
Aaron Brewer,46014,C,MIA,7,100.0,0,17,80.4,75.5,78.6,0,3,263,100.0,100.0,99.4,1,3,0,481,481,0,0,481,281,281,0,0,200,0
Trey Smith,62960,G,KC,7,100.0,0,16,81.2,67.3,80.8,2,12,258,100.0,100.0,97.3,2,14,0,480,0,0,0,480,276,276,480,0,204,0
Joe Thuney,10712,G,KC,7,100.0,0,16,85.5,85.5,79.1,0,6,258,100.0,100.0,98.8,0,6,0,480,1,479,0,480,276,276,0,0,204,0
Robert Hunt,46139,G,CAR,8,100.0,1,5,72.5,64.0,74.2,2,8,294,100.0,100.0,97.3,2,13,3,480,0,0,0,480,311,311,480,0,169,0
Jawaan Taylor,41665,T,KC,7,100.0,0,16,64.3,69.4,67.0,3,8,258,100.0,100.0,97.5,7,12,1,480,0,0,0,480,276,276,0,478,204,2
Creed Humphrey,59996,C,KC,7,100.0,0,16,93.0,86.4,91.6,2,1,258,100.0,100.0,99.4,1,3,0,480,479,1,0,480,276,276,0,0,204,0
Darnell Wright,98480,T,CHI,7,100.0,1,6,70.7,67.6,76.4,0,11,263,100.0,100.0,96.4,5,15,4,479,0,0,0,479,293,293,0,478,186,1
Hjalte Froholdt,44959,C,ARZ,8,100.0,0,1,69.3,73.5,66.7,3,6,264,100.0,100.0,98.3,2,9,0,478,478,0,0,478,278,278,0,0,200,0
Paris Johnson Jr.,129749,T,ARZ,8,100.0,0,1,80.0,75.8,75.7,0,10,264,100.0,100.0,97.0,3,13,3,478,0,0,477,478,278,278,0,0,200,1
Mitch Morse,9482,C,JAX,8,100.0,0,15,64.5,65.5,63.6,0,7,281,100.0,100.0,98.0,1,9,2,478,478,0,0,478,295,295,0,0,183,0
Alex Cappa,66578,G,CIN,8,100.0,1,7,57.1,54.1,57.4,3,9,296,100.0,100.0,96.6,1,16,4,476,0,0,0,476,310,310,476,0,166,0
Ted Karras,10855,C,CIN,8,100.0,0,7,61.4,75.4,52.4,3,5,296,100.0,100.0,98.3,0,9,1,476,476,0,0,476,310,310,0,0,166,0
Cordell Volson,30614,G,CIN,8,100.0,1,7,58.7,55.1,61.9,4,12,296,100.0,100.0,96.3,4,19,3,476,0,476,0,476,310,310,0,0,166,0
Broderick Jones,124025,T,PIT,8,100.0,1,25,46.6,40.7,55.4,1,13,236,100.0,100.0,94.1,6,21,7,476,0,0,0,476,252,252,0,476,224,0
Terence Steele,39461,T,DAL,7,100.0,0,9,60.8,44.6,81.6,4,14,299,100.0,100.0,95.3,2,23,5,476,0,0,0,476,326,326,0,476,150,0
Cooper Beebe,99434,C,DAL,7,100.0,0,9,60.4,64.1,58.4,3,4,299,100.0,100.0,98.2,2,9,2,475,475,0,0,475,326,326,0,0,149,0
