player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Joe Burrow,28022,QB,CIN,11,76.5,379,408,8.3,2.71,5,21,4.9,67.2,274,0,156,5.5,453,16,164,7,61.0,90.4,89.3,67.7,7,4,480,6,16.7,106.9,5.7,26,16,0,17,27,8,1.7,3028,7.4
Geno Smith,7820,QB,SEA,11,77.9,375,405,7.8,2.81,10,20,4.5,69.1,280,1,177,4.1,461,12,160,29,69.1,81.0,80.6,62.3,2,12,504,8,20.9,88.5,8.0,37,19,2,16,12,12,2.4,3035,7.5
Bo Nix,97790,QB,DEN,12,75.7,366,399,8.0,3.03,12,13,3.1,64.9,259,0,135,6.5,457,18,132,10,90.5,72.8,70.2,72.0,4,6,485,6,14.1,89.9,4.2,19,34,1,16,16,7,1.4,2548,6.4
C.J. Stroud,129759,QB,HST,12,72.1,369,396,8.3,2.97,4,20,4.7,63.1,250,0,179,6.0,466,16,155,13,71.3,74.3,73.4,61.6,6,9,494,2,21.8,87.3,8.4,39,30,1,16,14,14,2.8,2875,7.3
Matthew Stafford,4924,QB,LA,11,73.0,363,385,8.2,2.6,7,14,3.4,66.5,256,0,130,3.4,412,9,133,26,57.3,68.7,67.8,51.0,5,7,439,1,20.0,93.2,6.3,26,1,1,9,15,15,3.4,2800,7.3
Patrick Mahomes,11765,QB,KC,11,80.6,345,381,6.4,2.84,6,11,2.8,69.8,266,1,137,4.3,441,12,165,16,91.6,85.0,79.4,87.5,3,11,468,2,19.7,93.2,6.1,27,29,1,26,18,11,2.4,2673,7.0
Aaron Rodgers,2241,QB,NYJ,11,74.6,354,380,7.2,2.53,8,18,4.5,63.4,241,0,110,8.7,415,23,124,22,74.3,75.9,74.8,65.7,5,7,437,5,23.6,88.9,6.3,26,9,0,13,17,9,2.1,2442,6.4
Baker Mayfield,46518,QB,TB,11,79.2,356,374,6.5,2.67,8,15,3.8,71.4,267,0,102,5.3,427,15,155,30,48.3,81.3,79.7,67.8,5,9,451,3,23.5,104.1,5.6,24,26,1,4,24,15,3.3,2799,7.5
Caleb Williams,144622,QB,CHI,11,73.5,332,372,8.1,2.95,9,15,3.7,62.6,233,1,152,4.5,448,11,126,6,89.6,67.5,64.4,76.5,4,5,488,8,28.9,84.9,9.8,44,31,2,25,11,12,2.5,2356,6.3
Kirk Cousins,7102,QB,ATL,11,76.7,331,360,7.9,2.55,9,10,2.6,68.1,245,0,132,3.5,386,9,129,2,45.3,77.3,75.4,64.1,4,9,416,1,16.7,96.6,5.7,22,2,4,12,17,17,4.1,2807,7.8
Lamar Jackson,46416,QB,BLT,12,77.7,310,343,9.3,3.17,11,14,3.8,67.3,231,0,134,4.1,390,10,154,3,56.8,91.9,90.3,84.6,8,3,422,4,11.9,117.9,4.1,16,29,4,10,27,6,1.4,3053,8.9
