player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Saquon Barkley,45791,HB,PHI,11,223,38,16,43.6,607,0,1392,2,11,38,776,68.2,29,53,24,1,94,82.4,86.8,56.1,,58.8,71.2,87.0,57.5,72,1,257,27,211,283,0,0,30,250,10,1392,776,3.48,6.2,1.22,123
Derrick Henry,10679,HB,BLT,12,221,44,17,45.3,600,0,1325,0,2,44,784,70.6,27,60,3,3,100,56.6,91.9,17.4,,88.2,62.4,91.3,56.7,87,2,96,10,116,273,0,0,11,231,13,1325,784,3.55,6.0,0.83,121
Kyren Williams,97118,HB,LA,11,207,32,4,11.2,92,0,822,1,4,32,552,41.4,15,55,26,5,100,32.1,63.1,87.2,,37.1,56.0,67.5,57.6,30,0,136,25,264,233,0,0,29,232,9,822,552,2.67,4.0,0.52,101
Josh Jacobs,45953,HB,GB,11,202,46,8,23.7,224,0,944,0,7,46,723,84.3,25,48,12,2,98,68.1,88.9,49.7,,38.1,75.0,89.4,54.8,38,1,186,23,182,228,0,0,28,225,7,944,723,3.58,4.7,1.02,102
Najee Harris,57121,HB,PIT,11,191,50,8,26.2,196,0,749,4,7,50,566,78.9,21,37,25,0,58,90.7,78.0,84.7,,71.1,53.2,79.0,67.5,36,0,195,23,152,225,0,0,29,214,3,749,566,2.96,3.9,1.28,133
Joe Mixon,11803,HB,HST,9,185,26,9,32.6,256,0,786,2,9,26,531,48.3,21,37,13,0,52,90.7,74.9,41.9,54.9,59.4,68.8,73.8,74.3,59,2,226,23,162,203,0,0,32,208,10,786,531,2.87,4.2,1.4,131
Tony Pollard,27126,HB,TEN,11,184,28,10,28.6,229,1,800,4,4,28,652,52.3,24,37,31,0,100,90.7,73.3,25.2,,69.0,58.4,76.0,76.0,41,2,178,33,230,222,0,0,43,217,4,800,652,3.54,4.3,0.77,76
Alvin Kamara,11822,HB,NO,11,183,29,9,21.1,165,0,782,5,5,29,492,38.4,19,45,20,1,38,81.5,73.8,86.4,,41.0,63.4,77.2,57.1,24,0,443,55,242,213,0,0,71,238,6,782,492,2.69,4.3,1.83,137
Aaron Jones,11937,HB,MIN,11,179,31,8,25.3,202,0,798,0,4,31,534,49.5,18,33,18,3,74,48.7,74.0,47.9,,80.8,79.7,69.1,50.0,41,1,285,32,197,210,0,0,36,211,3,798,534,2.98,4.5,1.45,104
Chuba Hubbard,57373,HB,CAR,11,177,35,12,31.2,273,0,876,1,7,35,629,71.8,20,45,5,3,56,50.6,77.1,87.2,,55.7,38.8,88.6,53.9,38,0,126,31,225,196,0,0,38,208,7,876,629,3.55,4.9,0.56,116
D'Andre Swift,57212,HB,CHI,11,168,27,8,34.1,227,0,665,1,5,27,419,40.1,13,26,6,2,80,63.6,60.5,52.4,,27.1,58.6,65.2,33.1,56,4,278,31,225,196,0,0,35,199,5,665,419,2.49,4.0,1.24,77
Bijan Robinson,123126,HB,ATL,11,167,38,8,22.1,173,0,783,1,17,38,510,79.2,14,38,2,0,35,90.6,91.6,86.9,,56.0,90.2,90.9,82.0,37,2,359,45,246,183,0,0,49,212,6,783,510,3.05,4.7,1.46,130
James Conner,11860,HB,ARZ,11,166,49,9,22.3,157,0,705,1,16,49,564,113.3,23,46,1,3,117,49.4,83.0,86.9,,69.7,60.2,85.4,62.0,22,0,288,29,180,197,0,0,33,195,5,705,564,3.4,4.2,1.6,47
Rhamondre Stevenson,98689,HB,NE,11,162,35,5,16.7,100,1,598,1,10,35,463,67.7,15,31,19,5,95,33.2,66.9,51.2,,66.5,61.5,66.9,72.6,33,3,118,28,205,173,0,0,34,190,6,598,463,2.86,3.7,0.58,63
Jonathan Taylor,57488,HB,IND,9,161,19,11,39.1,277,0,708,2,6,19,452,40.3,21,34,14,2,63,61.0,48.5,47.8,,31.6,33.3,57.2,43.7,58,2,111,13,175,205,0,0,21,174,5,708,452,2.81,4.4,0.63,98
J.K. Dobbins,57366,HB,LAC,11,158,33,10,38.6,296,0,766,2,4,33,497,62.6,24,39,27,0,84,90.4,67.3,86.5,,69.9,56.7,67.3,69.8,61,0,134,28,177,177,0,0,32,186,8,766,497,3.15,4.8,0.76,71
Kareem Hunt,11841,HB,KC,8,155,20,2,5.5,32,0,577,0,7,20,369,37.4,8,31,16,0,56,90.3,72.6,85.8,,72.4,67.8,70.8,60.3,17,0,135,17,136,171,0,0,19,172,5,577,369,2.38,3.7,0.99,92
Jahmyr Gibbs,122474,HB,DET,11,154,39,17,43.6,386,0,886,0,3,39,496,75.2,25,41,11,0,54,90.3,81.6,0.0,,25.5,71.2,85.2,75.8,70,3,265,26,176,165,0,0,32,180,10,886,496,3.22,5.8,1.51,96
Breece Hall,97636,HB,NYJ,11,152,23,8,28.2,178,0,632,5,10,23,475,52.1,18,26,22,4,59,38.5,59.1,25.8,,54.8,54.1,63.1,56.1,42,2,401,46,274,168,0,0,59,198,4,632,475,3.13,4.2,1.46,91
David Montgomery,45719,HB,DET,11,145,36,5,14.1,89,0,632,0,16,36,474,100.6,14,43,11,2,49,59.0,84.2,28.2,69.5,51.1,84.9,80.2,60.0,21,1,241,24,113,150,0,0,25,169,11,632,474,3.27,4.4,2.13,92
Chase Brown,77787,HB,CIN,11,140,29,7,25.0,152,0,607,3,8,29,411,62.1,15,25,7,2,53,60.7,73.6,86.8,,46.6,66.8,75.0,60.1,30,0,207,35,189,154,0,0,42,175,5,607,411,2.94,4.3,1.1,83
Jordan Mason,62946,HB,SF,11,140,35,11,37.0,263,0,711,0,3,35,451,81.1,20,33,28,3,38,39.8,71.2,85.3,,44.5,54.6,74.2,67.3,38,0,91,11,159,162,0,0,14,151,3,711,451,3.22,5.1,0.57,101
James Cook,83666,HB,BUF,10,137,23,5,19.8,118,0,596,3,3,23,392,45.9,14,34,4,0,53,90.1,74.6,84.9,,73.4,51.7,80.2,29.0,49,0,182,25,163,153,0,0,31,162,10,596,392,2.86,4.4,1.12,83
De'Von Achane,124305,HB,MIA,11,132,22,6,24.9,140,1,562,0,9,22,393,51.0,15,24,17,0,43,90.2,81.9,51.5,,39.6,82.2,80.3,37.5,47,1,373,49,226,168,0,0,53,181,3,562,393,2.98,4.3,1.65,83
Kenneth Walker III,97199,HB,SEA,9,129,53,6,26.4,130,1,493,0,12,53,401,122.5,10,24,29,0,51,90.1,90.1,16.6,,39.7,74.3,91.5,67.8,28,2,274,36,196,148,0,0,41,165,7,493,401,3.11,3.8,1.4,74
Brian Robinson,57120,HB,WAS,9,122,22,7,30.2,162,0,537,1,6,22,429,74.0,11,32,32,0,58,89.5,79.9,87.7,,54.1,70.0,78.3,67.8,40,0,99,11,106,156,0,0,14,133,7,537,429,3.52,4.4,0.93,59
