Player,Player_id,Pos,Team
Jason Peters,2148,T,Free Agent
Aaron Rodgers,2241,QB,Cuba
Marcedes Lewis,2973,TE,Free Agent
Joe Flacco,4332,QB,Free Agent
Duane Brown,4340,T,Free Agent
Calais Campbell,4364,ED,Rome
Matthew Stafford,4924,QB,Raleigh
Brian Hoyer,5277,QB,Free Agent
Trent Williams,5529,T,Ivory Coast
Tyson Alualu,5535,DI,Free Agent
Brandon Graham,5538,ED,Free Agent
Jason Pierre-Paul,5540,ED,Free Agent
Kareem Jackson,5545,S,Free Agent
Jerry Hughes,5556,ED,Free Agent
Linval Joseph,5571,DI,Free Agent
Jimmy Graham,5619,TE,Free Agent
Al Woods,5646,DI,Free Agent
Von Miller,6154,ED,Akureyri
Patrick Peterson,6157,CB,Free Agent
Julio Jones,6158,WR,Free Agent
Tyron Smith,6161,T,Hungary
Blaine Gabbert,6162,QB,Free Agent
Cameron Jordan,6176,ED,Ivory Coast
Cameron Heyward,6183,DI,Svalbard
Andy Dalton,6187,QB,Free Agent
Randall Cobb,6216,WR,Free Agent
Justin Houston,6222,ED,Free Agent
Tyrod Taylor,6332,QB,Free Agent
Jason Kelce,6343,C,Retired
Lawrence Guy Sr.,6385,DI,Free Agent
Nick Bellore,6515,LB,Free Agent
Ryan Tannehill,7014,QB,Free Agent
Stephon Gilmore,7016,CB,New Orleans
Fletcher Cox,7018,DI,Retired
Bruce Irvin,7021,ED,Free Agent
Melvin Ingram III,7024,ED,Free Agent
Riley Reiff,7029,G,Free Agent
Kevin Zeitler,7032,G,Hungary
Bobby Wagner,7050,LB,Ivory Coast
Lavonte David,7060,LB,Quebec
Russell Wilson,7077,QB,Raleigh
Demario Davis,7079,LB,New Orleans
Kirk Cousins,7102,QB,Quebec
Marvin Jones Jr.,7158,WR,Free Agent
Kelvin Beachum,7229,T,Free Agent
Rodney McLeod,7271,S,Free Agent
Tashaun Gipson Sr.,7288,S,Free Agent
Case Keenum,7323,QB,Free Agent
Brandon Bolden,7469,HB,Free Agent
Ty Nsekhe,7636,T,Free Agent
Harrison Smith,7641,S,Hungary
Josh Norman,7649,CB,Free Agent
Justin Bethel,7654,CB,Free Agent
Greg Van Roten,7746,G,Free Agent
